THE CS Rank 2025,University Name,Country
1001,Kansai University,Japan
1001,Kasetsart University,Thailand
1001,Kharkiv National University of Radio Electronics,Ukraine
1001,Kocaeli University,Turkey
1001,Kyoto Institute of Technology,Japan
1001,L.N. Gumilyov Eurasian National University,Kazakhstan
1001,Lublin University of Technology,Poland
1001,Meiji University,Japan
1001,Metropolitan Autonomous University,Mexico
1001,MIREA - Russian Technological University,Russian Federation
1001,Moscow Aviation Institute,Russian Federation
1001,Mustansiriyah University,Iraq
1001,Nanjing Tech University,China
1001,National Chin-Yi University of Technology,Taiwan
1001,National Formosa University,Taiwan
1001,National Kaohsiung University of Science and Technology,Taiwan
1001,National Research University of Electronic Technology (MIET)Russian Federation,
1001,National Taiwan Ocean University,Taiwan
1001,National Technical University Kharkiv Polytechnic Institute,Ukraine
1001,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,Ukraine
1001,National University of Colombia,Colombia
1001,National University of La Plata,Argentina
1001,National University of Life and Environmental Sciences of Ukraine,Ukraine
1001,National University of Science and Technology (MISiS)Russian Federation,
1001,North-Caucasus Federal University,Russian Federation
1001,Novosibirsk State Technical University,Russian Federation
1001,Novosibirsk State University,Russian Federation
1001,Polytechnic University of Timişoara,Romania
1001,Pontifical Catholic University of Peru,Peru
1001,Pontificia Universidad Javeriana,Colombia
1001,R V College of EngineeringIndia,Explore
1001,Rzeszów University of Technology,Poland
1001,Saints Cyril and Methodius University in Skopje,North Macedonia
1001,Samara National Research University (Samara University)Russian Federation,
1001,Shanghai Normal University,China
1001,Shizuoka University,Japan
1001,Sichuan University of Science and Engineering,China
1001,Sofia University,Bulgaria
1001,Southern Federal University,Russian Federation
1001,Southwest Petroleum University,China
1001,Sri Lanka Institute of Information Technology,Sri Lanka
1001,State University of Malang,Indonesia
1001,Tamkang University,Taiwan
1001,Taras Shevchenko National University of Kyiv,Ukraine
1001,Tashkent University of Information Technologies,Uzbekistan
1001,Technical University of Sofia,Bulgaria
1001,Thammasat University,Thailand
1001,Tokai University,Japan
1001,Transilvania University of Brașov,Romania
1001,Universidad de las Fuerzas Armadas – ESPEEcuador,
1001,Universidade do Estado do Rio de Janeiro (UERJ)Brazil,
1001,Universidade Federal da Bahia,Brazil
1001,Universidade Federal de Juiz de Fora,Brazil
1001,Universidade Federal do ABC (UFABC)Brazil,
1001,Universidade Lusófona,Portugal
1001,Universidade Tecnológica Federal do Paraná (UTFPR)Brazil,
1001,Universidad Peruana de Ciencias Aplicadas (UPC)Peru,
1001,Universidad Politécnica Salesiana,Ecuador
1001,Universidad Técnica Particular de Loja,Ecuador
1001,Universitas Sebelas Maret,Indonesia
1001,Universitas Sumatera Utara,Indonesia
1001,Université Mohammed Premier,Morocco
1001,Universiti Kuala Lumpur,Malaysia
1001,Universiti Teknologi MARAMalaysia,
1001,University of Abou Bekr Belkaïd Tlemcen,Algeria
1001,University of Babylon,Iraq
1001,University of Baghdad,Iraq
1001,University of Basrah,Iraq
1001,University of Biskra,Algeria
1001,University of Brawijaya,Indonesia
1001,University of Concepción,Chile
1001,University of Craiova,Romania
1001,University of GuadalajaraMexico,Explore
1001,University of Guanajuato,Mexico
1001,University of Ioannina,Greece
1001,University of Lodz,Poland
1001,University of Mosul,Iraq
1001,University of Ostrava,Czechia
1001,"University of Santiago, Chile (USACH)Chile",
1001,University of Sarajevo,Bosnia and Herzegovina
1001,University of Savoie Mont Blanc,France
1001,University of Sciences and Technology Houari Boumediene,Algeria
1001,University of Silesia in Katowice,Poland
1001,University of South Africa,South Africa
1001,University of Split,Croatia
1001,University of the Balearic Islands,Spain
1001,University of the Philippines,Philippines
1001,University of Tours,France
1001,University of Warmia and Mazury in Olsztyn,Poland
1001,"Vietnam National University, Hanoi",Vietnam
1001,Vietnam National University (Ho Chi Minh City)Vietnam,
1001,Vilnius University,Lithuania
1001,V.N. Karazin Kharkiv National University,Ukraine
1001,Warsaw University of Life Sciences – SGGWPoland,
1001,Wuhan Textile University,China
1001,Yamaguchi University,Japan
