World Rank,Institution
293,China Agricultural University
294,University of Tsukuba
295,University of Manitoba
296,University of Antwerp
297,University of Liège
298,University of Valencia
299,University College Dublin
300,Peking Union Medical College
301,Southern University of Science and Technology
302,University of Porto
303,University of Bergen
304,University of Science and Technology Beijing
305,Laval University
306,Capital Medical University
307,Washington State University
308,Florida State University
309,Lanzhou University
310,Autonomous University of Madrid
311,Hanyang University
312,East China Normal University
313,"University of Maryland, Baltimore"
314,University of Technology Sydney
315,University of Duisburg-Essen
316,UMass Chan Medical School
317,University of Oklahoma
318,University of Rennes
319,University of East Anglia
320,P.N. Lebedev Physical Institute of the Russian Academy of Sciences
321,University of Kentucky
322,University at Buffalo
323,University of South Florida
324,University of Delaware
325,Ruhr University Bochum
326,King Saud University
327,University of Pavia
328,National Yang Ming Chiao Tung University
329,Curtin University
330,University of Aberdeen
331,Federal University of Rio de Janeiro
332,Aalborg University
333,Queen's University
334,HEC Paris
335,"University of California, Santa Cruz"
336,Polytechnic University of Milan
337,University of Nebraska–Lincoln
338,Jinan University
339,East China University of Science and Technology
340,Northeastern University
341,Macquarie University
342,Nanjing University of Science and Technology
343,Shanghai University
344,Wayne State University
345,University of York
346,Friedrich Schiller University Jena
347,University of Milano-Bicocca
348,"Northeastern University, China"
349,Ulm University
350,University of Granada
351,University of New Mexico
352,Aalto University
353,Dalhousie University
354,Nanjing Medical University
355,Queensland University of Technology
356,Ioffe Physical-Technical Institute of the Russian Academy of Sciences
357,Northwest A&F University
358,Ben-Gurion University of the Negev
359,Nanjing Agricultural University
360,Durham University
361,London School of Economics and Political Science
362,École des ponts ParisTech
363,Islamic Azad University
364,Temple University
365,Deakin University
366,Eindhoven University of Technology
367,Beijing University of Chemical Technology
368,Umeå University
369,University of Campinas
370,Nantes University
371,Queen's University Belfast
372,University of the Basque Country
373,Huazhong Agricultural University
374,University of Rome Tor Vergata
375,University of South Carolina - Columbia
376,Southern Medical University
377,University of Düsseldorf
378,Wuhan University of Technology
379,Griffith University
380,Lancaster University
381,Louisiana State University - Baton Rouge
382,Drexel University
383,Kyung Hee University
384,Linköping University
385,University of Wollongong
386,Xidian University
387,University of Belgrade
388,Jiangsu University
389,Southern Methodist University
390,Nanjing University of Aeronautics and Astronautics
391,Jiangnan University
392,Chalmers University of Technology
393,University of St Andrews
394,University of Turku
395,Jagiellonian University
396,University of Dundee
397,Hannover Medical School
398,Technical University of Catalonia (UPC)
399,Albert Einstein College of Medicine
400,Technical University of Berlin
401,University of Parma
402,University of Otago
403,University of Newcastle
404,Fuzhou University
405,Simon Fraser University
406,National Cheng Kung University
407,Pohang University of Science and Technology
408,University of Ulsan
409,University of Buenos Aires
410,Catholic University of the Sacred Heart
411,University of Malaya
412,Qingdao University
