World Rank,Institution
413,University of Marburg
414,University of Seville
415,Pontifical Catholic University of Chile
416,University Paris-Est Créteil
417,City College of New York
418,University of Saskatchewan
419,Vita-Salute San Raffaele University
420,Medical University of South Carolina
421,Guangdong University of Technology
422,University of Tasmania
423,International Institute for Management Development
424,RMIT University
425,Justus Liebig University Giessen
426,Nanjing Tech University
427,University of Warsaw
428,Indian Institute of Management Ahmedabad
429,Southwest University
430,University of Côte d'Azur
431,University of Innsbruck
432,Pompeu Fabra University
433,China University of Geosciences (Wuhan)
434,University of Perugia
435,Nanjing University of Information Science and Technology
436,Vrije Universiteit Brussel
437,Tampere University
438,Swedish University of Agricultural Sciences
439,University of Victoria
440,University of Ljubljana
441,Kyungpook National University
442,Pusan National University
443,Tulane University
444,University of Bath
445,Aristotle University of Thessaloniki
446,University of Bari
447,Institut Agro
448,University of Regensburg
449,University of Coimbra
450,Thomas Jefferson University
451,Nanchang University
452,Zhejiang University of Technology
453,University of Chile
454,São Paulo State University
455,"City St George's, University of London"
456,University of Texas at Dallas
457,University of Surrey
458,Stellenbosch University
459,University of Oregon
460,La Trobe University
461,National Tsing Hua University
462,Chulalongkorn University
463,University of Twente
464,University of Oulu
465,North China Electric Power University
466,University of Macau
467,University of Mississippi
468,Stockholm School of Economics
469,Southwest Jiaotong University
470,Hefei University of Technology
471,Beijing Jiaotong University
472,Yangzhou University
473,Vienna University of Technology
474,Kobe University
475,Beijing University of Technology
476,Federal University of Rio Grande do Sul
477,University of Navarra
478,University of Tehran
479,"University at Albany, SUNY"
480,University of Trento
481,Ulsan National Institute of Science and Technology
482,Ocean University of China
483,Hiroshima University
484,Saint Louis University
485,Chonnam National University
486,University of Clermont Auvergne
487,Western Sydney University
488,University of Central Florida
489,Renmin University of China
490,York University
491,Texas Tech University
492,Nanjing Normal University
493,Medical College of Wisconsin
494,George Mason University
495,University of Texas Health Science Center at San Antonio
496,University of Louisville
497,Federal University of Minas Gerais
498,University of Alabama - Tuscaloosa
499,Swinburne University of Technology
500,University of Santiago de Compostela
501,Amherst College
502,National Research Center «Kurchatov Institute»
503,Martin Luther University Halle-Wittenberg
504,University of Vermont
505,University of KwaZulu-Natal
506,University of Eastern Finland
507,Syracuse University
508,Eötvös Loránd University
509,"China Medical University, Taiwan"
510,Savoie Mont Blanc University
511,University of Trieste
512,Florida International University
513,University of Potsdam
514,University of Strathclyde
515,University of Guelph
516,University of Zagreb
517,Cairo University
518,West Virginia University
519,Rush University
520,Guangzhou Medical University
521,Indian Institute of Science
522,Donghua University
523,Moscow Institute of Physics and Technology
524,University of Catania
525,University of Tennessee Health Science Center
526,Kansas State University
527,University of Tartu
528,Baylor University
529,South China Normal University
530,Boston College
531,University of Ferrara
532,Hohai University
533,Mahidol University
534,NOVA University of Lisbon
535,ShanghaiTech University
536,Polytechnic University of Valencia
537,Flinders University
538,University of Tromsø – The Arctic University of Norway
539,Tianjin Medical University
540,École normale supérieure de Lyon
541,Lehigh University
542,South China Agricultural University
543,Central China Normal University
544,James Cook University
545,University College Cork
546,University of Verona
547,University of Siena
548,Guangxi University
549,University of South Australia
550,University of Hull
551,Technical University of Darmstadt
552,Auburn University
553,University of Hawaii at Manoa
554,Okayama University
555,University of Stuttgart
556,Leibniz University Hannover
557,University of Pretoria
558,Carleton University
559,Masaryk University
560,University of Modena and Reggio Emilia
561,Indian Institute of Technology Madras
562,Indian Institute of Technology Bombay
563,China University of Mining and Technology (Xuzhou)
564,Georgia State University
565,"China University of Geosciences, Beijing"
566,Beijing University of Posts and Telecommunications
567,Novosibirsk State University
568,National University of Defense Technology
569,University of Zaragoza
570,Polytechnic University of Madrid
571,Nanjing University of Posts and Telecommunications
572,Oklahoma State University
573,University of Bremen
574,Swansea University
575,Clemson University
576,Technical University of Dortmund
577,Wenzhou Medical University
578,Saint Petersburg University
579,Shaanxi Normal University
580,Medical University of Graz
581,Tehran University of Medical Sciences
582,Indian Institute of Technology Delhi
583,Medical University of Innsbruck
584,Mayo Clinic College of Medicine and Science
585,University of Konstanz
586,Indiana University Indianapolis
587,University of Arkansas - Fayetteville
588,Rovira i Virgili University
589,Anhui University
590,University of Szeged
591,Bar-Ilan University
592,Antioch College
593,University of Oviedo
594,University of Rostock
595,Illinois Institute of Technology
596,Shandong University of Science and Technology
597,Nanjing Forestry University
598,China University of Petroleum (East China)
599,Naval Medical University
600,Henan University
601,University of Aveiro
602,Bocconi University
603,Chiba University
604,"Northwest University, Xi'an"
605,University of Franche-Comté
606,Colorado School of Mines
607,University of Johannesburg
608,Scuola Normale Superiore di Pisa
609,Ningbo University
610,Polytechnic University of Turin
611,University of Palermo
612,University of Brescia
613,"Royal Holloway, University of London"
614,King Fahd University of Petroleum and Minerals
615,Hitotsubashi University
616,University of Canterbury
617,Federal University of São Paulo
618,University of St.Gallen
619,Sejong University
620,Chung-Ang University
621,Ewha Womans University
622,University of Sherbrooke
623,Loughborough University
624,Osaka Metropolitan University
625,San Diego State University
626,National Technical University of Athens
627,AGH University of Science and Technology
628,Brunel University London
629,Concordia University
630,Guangzhou University
631,University of Burgundy
632,University of Jyväskylä
633,Palacký University Olomouc
634,University of Salerno
635,University of Iceland
636,Delhi University
637,University of La Laguna
638,Chang Gung University
639,Shanxi University
640,Gustave Eiffel University
641,University of Minho
642,University of Graz
643,Harbin Medical University
644,Tata Institute of Fundamental Research
645,University of Nebraska Medical Center
646,COMSATS University Islamabad
647,Shandong Normal University
648,University of Cagliari
649,University of Texas at Arlington
650,Joint Institute for Nuclear Research
651,Chongqing Medical University
652,Army Medical University
653,Jeonbuk National University
654,Catholic University of Korea
655,Beijing Forestry University
656,Northeast Normal University
657,Rouen Normandy University
658,Utah State University
659,University of Campania Luigi Vanvitelli
660,Rensselaer Polytechnic Institute
661,Hacettepe University
662,University of Jinan
663,Institut Mines-Télécom
664,Brigham Young University
665,"China Medical University, PRC"
666,University of Caen Normandy
667,University of Wisconsin–Milwaukee
668,Oswaldo Cruz Foundation
669,"Institute of Cancer Research, University of London"
670,Semmelweis University
671,Memorial University of Newfoundland
672,University of Málaga
673,Qingdao University of Science and Technology
674,Bielefeld University
675,University of Angers
676,Anhui Medical University
677,Hong Kong Baptist University
678,University of Bayreuth
679,Swarthmore College
680,University of Québec at Montreal
681,Yokohama City University
682,University of Fribourg
683,National Central University
684,University of Haifa
685,National Research Nuclear University MEPhI
686,Fujian Agriculture and Forestry University
687,University of Shanghai for Science and Technology
688,Harbin Engineering University
689,Indian Institute of Technology Kharagpur
690,Saarland University
691,Czech Technical University in Prague
692,Air Force Medical University
693,Yeungnam University
694,Kunming University of Science and Technology
695,University of Kent
696,Shandong First Medical University
697,Sharif University of Technology
698,Konkuk University
699,University of Texas Medical Branch
700,University of Udine
701,University of Western Brittany
702,Istanbul University
703,Sciences Po
704,China University of Petroleum-Beijing
705,Chungnam National University
706,"University of Nevada, Reno"
707,University of Galway
708,University of New Hampshire
709,Middle East Technical University
710,University of Missouri-Kansas City
711,University of Poitiers
712,University of Cantabria
713,Binghamton University
714,Henan Normal University
715,College of William & Mary
716,University of Eastern Piedmont
717,Ankara University
718,University of North Texas
719,Victoria University of Wellington
720,Taipei Medical University
721,Mississippi State University
722,University of Texas at San Antonio
723,National Chung Hsing University
724,China Pharmaceutical University
725,Yanshan University
726,Zhejiang Normal University
727,Federal University of Santa Catarina
728,Inha University
729,Hainan University
730,National Polytechnic Institute
731,University of Maine
732,Institut national des sciences appliquées de Lyon
733,Tilburg University
734,Loyola University Chicago
735,Heriot-Watt University
736,Academy of Scientific & Innovative Research
737,Roma Tre University
738,National Research University Higher School of Economics
739,Comenius University Bratislava
740,Ain Shams University
741,Shinshu University
742,University of Salamanca
743,Fujian Medical University
744,Yunnan University
745,Hangzhou Normal University
746,American University of Beirut
747,University of Massachusetts Boston
748,Vilnius University
749,Kanazawa University
750,BOKU University
751,Otto von Guericke University Magdeburg
752,National University of La Plata
753,Massey University
754,Warsaw University of Technology
755,University of Plymouth
756,Taiyuan University of Technology
757,University of Murcia
758,Ajou University
759,Hunan Normal University
760,Haverford College
761,Northumbria University
762,Boğaziçi University
763,Macau University of Science and Technology
764,University of Wyoming
765,Hebei University of Technology
766,Niigata University
767,CINVESTAV
768,Tarbiat Modares University
769,Central Party School of the Communist Party of China
770,Nantong University
771,Qatar University
772,Cold Spring Harbor Laboratory
773,Kumamoto University
774,Toulouse INP
775,Henryk Niewodniczański Institute of Nuclear Physics
776,Örebro University
777,National University of Colombia
778,Quaid-i-Azam University
779,University of Calabria
780,University of Essex
781,University of Arkansas for Medical Sciences
782,"University of Science and Technology, Korea"
783,Federal University of Paraná
784,Isfahan University of Technology
785,"University of Science, Malaysia"
786,University of Alcalá
787,Shandong Agricultural University
788,Kitasato University
789,"University of Córdoba, Spain"
790,University of Luxembourg
791,Montana State University - Bozeman
792,Dongguk University
793,Augusta University
794,University of Castilla–La Mancha
795,University of Lübeck
796,Liverpool John Moores University
797,University of Girona
798,University of Rhode Island
799,University of Cyprus
800,Istanbul Technical University
801,Hangzhou Dianzi University
802,Guizhou University
803,Bangor University
804,"Birkbeck, University of London"
805,University of Messina
806,Murdoch University
807,International School for Advanced Studies
808,Addis Ababa University
809,Amirkabir University of Technology
810,National University of Malaysia (UKM)
811,University of Vigo
812,University of Debrecen
813,University of Ioannina
814,Mansoura University
815,Technical University of Braunschweig
816,University of Crete
817,SUNY Downstate Health Sciences University
818,"University of Nevada, Las Vegas"
819,National University of Córdoba
820,Homi Bhabha National Institute
821,University of North Carolina at Charlotte
822,Tokyo University of Science
823,National Taiwan University of Science and Technology
824,Fujian Normal University
825,Kangwon National University
826,Tomsk State University
827,Sichuan Agricultural University
828,Hasselt University
829,Indian Institute of Technology Kanpur
830,Marche Polytechnic University
831,"University of Maryland, Baltimore County"
832,Miami University
833,University of Brasília
834,Northern Arizona University
835,"University of California, Merced"
836,Graduate University for Advanced Studies
837,Panjab University
838,Tokyo Metropolitan University
839,Centrale Lille Institut
840,Kaohsiung Medical University
841,Carl von Ossietzky University of Oldenburg
842,Qilu University of Technology
843,"Graduate School, GRINM"
844,Juntendo University
845,"Putra University, Malaysia"
846,Khalifa University
847,University of Portsmouth
848,University of the Balearic Islands
849,Xiangtan University
850,Toronto Metropolitan University
851,Indian Institute of Technology Roorkee
852,University of Alicante
853,"University of Technology, Malaysia"
854,National Sun Yat-sen University
855,University of Picardie Jules Verne
856,Adam Mickiewicz University in Poznań
857,London Business School
858,Shahid Beheshti University of Medical Sciences
859,University of Patras
860,North-West University
861,University of Concepción
862,Gyeongsang National University
863,Kent State University
864,University of Idaho
865,Chang'an University
866,Qufu Normal University
867,Gwangju Institute of Science and Technology
868,Northeast Agricultural University
869,National Centre for Nuclear Research
870,Rio de Janeiro State University
871,Woods Hole Oceanographic Institution
872,University of Salento
873,Ohio University
874,Banaras Hindu University
875,Uniformed Services University of the Health Sciences
876,Nanjing University of Chinese Medicine
877,Shantou University
878,Alexandria University
879,Graz University of Technology
880,Getúlio Vargas Foundation
881,University of Hohenheim
882,Edith Cowan University
883,Norwegian University of Life Sciences
884,Chiang Mai University
885,Zhejiang Sci-Tech University
886,Nagasaki University
887,Federal University of Pernambuco
888,Gachon University
889,"All India Institute of Medical Sciences, New Delhi"
890,University of Tabriz
891,Jean Monnet University
892,Singapore University of Technology and Design
893,St. Petersburg Federal Research Center of the Russian Academy of Sciences
894,Hubei University
895,Wroclaw Medical University
896,University of Montana
897,"University of the Andes, Colombia"
898,University of Insubria
899,University of Toledo
900,Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences
901,University of Wuppertal
902,Shanghai Normal University
903,Carlos III University of Madrid
904,Dalian Maritime University
905,University of Brighton
906,University of L'Aquila
907,Chungbuk National University
908,Cranfield University
909,Northeast Forestry University
910,University of Greifswald
911,Peter the Great St. Petersburg Polytechnic University
912,Makerere University
913,Tiangong University
914,"Open University, UK"
915,University of Alaska Fairbanks
916,Medical University of Warsaw
917,Tianjin University of Technology
918,New Jersey Institute of Technology
919,Australian Catholic University
920,Missouri University of Science and Technology
921,Old Dominion University
922,Wuhan University of Science and Technology
923,Shanghai University of Finance and Economics
924,L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences
925,ITMO University
926,University of Limerick
927,University of Siegen
928,University of Split
929,Inje University
930,Kindai University
931,Capital Normal University
932,Hebei University
933,Wenzhou University
934,University of Tours
935,Keele University
936,Tokushima University
937,University of Wrocław
938,Jaume I University
939,Iran University of Science and Technology
940,University of Valladolid
941,University of Denver
942,Polytechnic University of Bari
943,New Mexico State University
944,King Juan Carlos University
945,Changsha University of Science and Technology
946,Southwestern University of Finance and Economics
947,Aston University
948,Indian Institute of Technology Guwahati
949,University of Basilicata
950,Hallym University
951,Federal University of Rio Grande do Norte
952,University of Reims Champagne-Ardenne
953,Shizuoka University
954,Wesleyan University
955,Courtauld Institute of Art
956,Marmara University
957,Norwegian School of Economics
958,Zhejiang A&F University
959,Shiraz University
960,Northern Illinois University
961,Federal University of Ceará
962,Babeș-Bolyai University
963,Claremont McKenna College
964,Shaanxi University of Science and Technology
965,Jawaharlal Nehru University
966,Federal University of São Carlos
967,Henan University of Science and Technology
968,Gabriele d’Annunzio University
969,Duy Tân University
970,"University of the Republic, Uruguay"
971,Hunan Agricultural University
972,Ferdowsi University of Mashhad
973,University of Orléans
974,Meijo University
975,Tunis El Manar University
976,Villanova University
977,Nihon University
978,Michigan Technological University
979,Jawaharlal Nehru Centre for Advanced Scientific Research
980,Xi'an University of Technology
981,Institute for Nuclear Research of the Russian Academy of Sciences
982,Fluminense Federal University
983,Vellore Institute of Technology
984,Federal University of Viçosa
985,University of A Coruña
986,Federal University of Pelotas
987,Johannes Kepler University Linz
988,Manchester Metropolitan University
989,University of Southern Queensland
990,Changzhou University
991,University of Antioquia
992,Mohammed V University
993,Lappeenranta University of Technology
994,Aberystwyth University
995,University of Stirling
996,Federico Santa María Technical University
997,University of Sassari
998,Southwest University of Science and Technology
999,Jiangsu University of Science and Technology
1000,University of Memphis
1001,China University of Mining and Technology-Beijing
1002,Polytechnic University of Bucharest
1003,Budapest University of Technology and Economics
1004,Paul Valéry University
1005,East Carolina University
1006,Portland State University
1007,Huaqiao University
1008,Nicolaus Copernicus University
1009,Koç University
1010,Ege University
1011,Sorbonne Paris Nord University
1012,Southwest Petroleum University
1013,Royal College of Surgeons in Ireland
1014,Monterrey Institute of Technology and Higher Education
1015,Chongqing University of Posts and Telecommunications
1016,Jiangxi Normal University
1017,Xinjiang University
1018,Yerevan Physics Institute
1019,University of Windsor
1020,Aga Khan University
1021,Tokai University
1022,United Arab Emirates University
1023,Institut national de la recherche scientifique
1024,Federal University of Bahia
1025,Medical University of Lodz
1026,Assiut University
1027,Iran University of Medical Sciences
1028,University of Seoul
1029,Dalian Medical University
1030,Auckland University of Technology
1031,Federal University of Santa Maria
1032,Belarusian State University
1033,Wuhan Institute of Technology
1034,University of South China
1035,Henan Agricultural University
1036,Institute of Science and Technology Austria
1037,Beijing Technology and Business University
1038,Hebei Medical University
1039,North Dakota State University
1040,Wrocław University of Science and Technology
1041,University of Extremadura
1042,American University
1043,Guangxi Medical University
1044,Anhui Agricultural University
1045,Ulster University
1046,Shanghai University of Traditional Chinese Medicine
1047,Oberlin College
1048,Sofia University
1049,Miguel Hernández University of Elche
1050,Florida Atlantic University
1051,Benemérita Autonomous University of Puebla
1052,Bucknell University
1053,Paracelsus Medical University
1054,Czech University of Life Sciences Prague
1055,Tôn Đức Thắng University
1056,Copenhagen Business School
1057,Guangzhou University of Chinese Medicine
1058,Okinawa Institute of Science and Technology
1059,Kazan Federal University
1060,Postgraduate Institute of Medical Education and Research
1061,University of Thessaly
1062,University of Ibadan
1063,Çukurova University
1064,"Asia University, Taiwan"
1065,Nottingham Trent University
1066,Xuzhou Medical University
1067,University of Cádiz
1068,Zagazig University
1069,Carol Davila University of Medicine and Pharmacy
1070,Southern Illinois University Carbondale
1071,Liaocheng University
1072,Gifu University
1073,Humanitas University
1074,Luleå University of Technology
1075,University of Texas at El Paso
1076,University of Akron
1077,Henan Polytechnic University
1078,Sechenov University
1079,Chengdu University of Technology
1080,Ramon Llull University
1081,Skolkovo Institute of Science and Technology
1082,Jiangsu Normal University
1083,Cheung Kong Graduate School of Business
1084,University of Kaiserslautern-Landau
1085,Marquette University
1086,University of Mannheim
1087,Rochester Institute of Technology
1088,Heilongjiang University
1089,University of Naples Parthenope
1090,Federal University of Juiz de Fora
1091,Ural Federal University
1092,University of Sharjah
1093,SUNY Upstate Medical University
1094,Bilkent University
1095,"Indian Institute of Science Education and Research, Pune"
1096,Gazi University
1097,Qingdao Agricultural University
1098,University of New Brunswick
1099,Brazilian Center for Research in Physics (CBPF)
1100,National Taiwan Normal University
1101,Guangxi Normal University
1102,University of Mons
1103,Anhui Normal University
1104,University of Hyogo
1105,Victoria University
1106,Ivane Javakhishvili Tbilisi State University
1107,University of Toyama
1108,Soonchunhyang University
1109,University of the Punjab
1110,INSA Toulouse
1111,Medical University of Gdańsk
1112,Charles Darwin University
1113,USI - University of Italian-speaking Switzerland
1114,University of Agriculture Faisalabad
1115,National University of Sciences and Technology
1116,New York University Abu Dhabi
1117,Fordham University
1118,Xi'an University of Architecture and Technology
1119,Federal University of Goiás
1120,Worcester Polytechnic Institute
1121,University of Novi Sad
1122,Federal University of ABC
1123,National Taipei University of Technology
1124,"University of New England, Australia"
1125,University of South Bohemia
1126,Ehime University
1127,Jichi Medical University
1128,Cadi Ayyad University
1129,Andrés Bello University
1130,Yantai University
1131,Manipal Academy of Higher Education
1132,Colgate University
1133,Guilin University of Electronic Technology
1134,Chengdu University
1135,University of Canberra
1136,Tomsk Polytechnic University
1137,University of Regina
1138,Mario Negri Institute for Pharmacological Research
1139,Daegu Gyeongbuk Institute of Science and Technology
1140,University of Kassel
1141,University of the Free State
1142,University of Sfax
1143,Shahid Beheshti University
1144,Liverpool School of Tropical Medicine
1145,Ritsumeikan University
1146,Shanxi Medical University
1147,University of Massachusetts Lowell
1148,Coventry University
1149,Tokyo University of Agriculture and Technology
1150,Tokyo Women's Medical University
1151,Dublin City University
1152,Sogang University
1153,Tanta University
1154,Hassan II University of Casablanca
1155,University of Bucharest
1156,University of Lleida
1157,Tianjin University of Science and Technology
1158,Åbo Akademi University
1159,Charles Sturt University
1160,Westlake University
1161,Medical University of Silesia
1162,University of Hertfordshire
1163,Mashhad University of Medical Sciences
1164,Zhejiang Gongshang University
1165,Pepperdine University
1166,Paderborn University
1167,Jadavpur University
1168,Northwest Normal University
1169,Pomona College
1170,Yıldız Technical University
1171,École nationale supérieure de chimie de Montpellier
1172,Dankook University
